#-------------
# Parameters:
# mdm = 1.
# mmediator = 1000.
# tf = 1e-5
# trh = 100.
# ycoupling = 1e-10
#-------------
#-------------
# Summary
# TF=1e-05
# DM: T(osc)= None | T(decouple)= 100.0 | T(decay)= None | Omega h^2 (@TF) = 0.113472811107
# 
# Mediator: T(osc)= None | T(decouple)= None | T(decay)= 0.0475383532448 | Omega h^2 (@decay) = 5.53551558304e-29
# 
# Delta Neff (@TF) = 0.0
#-------------
#-------------
# Header:
#             R                      T (GeV)               n_{DM} (GeV^{3})        #rho_{DM} (GeV^{2})      n_{Mediator} (GeV^{3})  #rho_{Mediator} (GeV^{2})
        1.3285E+00                7.5275E+01                2.8003E-04                1.3237E-01                5.1103E+00                5.6110E+03       
        1.3728E+00                7.2846E+01                2.5974E-04                1.1930E-01                3.1105E+00                3.3968E+03       
        1.4186E+00                7.0495E+01                2.3924E-04                1.0670E-01                1.8659E+00                2.0271E+03       
        1.4659E+00                6.8223E+01                2.1930E-04                9.4910E-02                1.1030E+00                1.1925E+03       
        1.5650E+00                6.3902E+01                1.8244E-04                7.4229E-02                3.6831E-01                3.9467E+02       
        1.6708E+00                5.9854E+01                1.5067E-04                5.7539E-02                1.1504E-01                1.2230E+02       
        1.7838E+00                5.6062E+01                1.2406E-04                4.4422E-02                3.3459E-02                3.5318E+01       
        1.9044E+00                5.2510E+01                1.0203E-04                3.4233E-02                9.0211E-03                9.4622E+00       
        2.0332E+00                4.9186E+01                8.3868E-05                2.6361E-02                2.2476E-03                2.3443E+00       
        2.1707E+00                4.6071E+01                6.8926E-05                2.0294E-02                5.1568E-04                5.3520E-01       
        2.3175E+00                4.3154E+01                5.6643E-05                1.5621E-02                1.1008E-04                1.1374E-01       
        2.4742E+00                4.0420E+01                4.6548E-05                1.2024E-02                2.3363E-05                2.4047E-02       
        2.5696E+00                3.8917E+01                4.1553E-05                1.0335E-02                1.0171E-05                1.0447E-02       
        2.6687E+00                3.7474E+01                3.7095E-05                8.8838E-03                4.9632E-06                5.0884E-03       
        2.7681E+00                3.6128E+01                3.3239E-05                7.6746E-03                2.8257E-06                2.8920E-03       
        2.8712E+00                3.4830E+01                2.9785E-05                6.6299E-03                1.8062E-06                1.8457E-03       
        2.9782E+00                3.3579E+01                2.6689E-05                5.7274E-03                1.2589E-06                1.2845E-03       
        3.0892E+00                3.2371E+01                2.3915E-05                4.9478E-03                9.2973E-07                9.4729E-04       
        3.3411E+00                2.9932E+01                1.8903E-05                3.6159E-03                5.5168E-07                5.6060E-04       
        3.5022E+00                2.8555E+01                1.6412E-05                2.9950E-03                4.1834E-07                4.2450E-04       
        3.6712E+00                2.7241E+01                1.4249E-05                2.4807E-03                3.2303E-07                3.2737E-04       
        3.8482E+00                2.5988E+01                1.2371E-05                2.0547E-03                2.5335E-07                2.5644E-04       
        4.1304E+00                2.4212E+01                1.0005E-05                1.5481E-03                1.8013E-07                1.8204E-04       
        4.7387E+00                2.1104E+01                6.6256E-06                8.9368E-04                9.8727E-08                9.9525E-05       
        5.5981E+00                1.7864E+01                4.0187E-06                4.5893E-04                5.1026E-08                5.1323E-05       
        6.6133E+00                1.5121E+01                2.4374E-06                2.3568E-04                2.7489E-08                2.7605E-05       
        7.8127E+00                1.2800E+01                1.4784E-06                1.2101E-04                1.5167E-08                1.5212E-05       
        9.2297E+00                1.0835E+01                8.9669E-07                6.2129E-05                8.5254E-09                8.5439E-06       
        1.0904E+01                9.1718E+00                5.4387E-07                3.1896E-05                4.8710E-09                4.8786E-06       
        1.2881E+01                7.7634E+00                3.2988E-07                1.6376E-05                2.8187E-09                2.8218E-06       
        1.5217E+01                6.5718E+00                2.0008E-07                8.4082E-06                1.6454E-09                1.6467E-06       
        1.7977E+01                5.5631E+00                1.2136E-07                4.3174E-06                9.6641E-10                9.6696E-07       
        2.1237E+01                4.7090E+00                7.3608E-08                2.2171E-06                5.7032E-10                5.7055E-07       
        2.5089E+01                3.9859E+00                4.4646E-08                1.1387E-06                3.3784E-10                3.3793E-07       
        2.9639E+01                3.3741E+00                2.7080E-08                5.8493E-07                2.0066E-10                2.0071E-07       
        3.5014E+01                2.8562E+00                1.6426E-08                3.0058E-07                1.1937E-10                1.1939E-07       
        4.1364E+01                2.4177E+00                9.9631E-09                1.5455E-07                7.1036E-11                7.1044E-08       
        4.8866E+01                2.0464E+00                6.0434E-09                7.9544E-08                4.2239E-11                4.2242E-08       
        5.7729E+01                1.7323E+00                3.6658E-09                4.1022E-08                2.5061E-11                2.5062E-08       
        6.8198E+01                1.4664E+00                2.2237E-09                2.1231E-08                1.4809E-11                1.4809E-08       
        8.0567E+01                1.2413E+00                1.3490E-09                1.1043E-08                8.6948E-12                8.6950E-09       
        9.5179E+01                1.0507E+00                8.1840E-10                5.7831E-09                5.0561E-12                5.0562E-09       
        1.1244E+02                8.8938E-01                4.9654E-10                3.0572E-09                2.8993E-12                2.8993E-09       
        1.3283E+02                7.5287E-01                3.0129E-10                1.6376E-09                1.6296E-12                1.6296E-09       
        1.5692E+02                6.3730E-01                1.8284E-10                8.9227E-10                8.9041E-13                8.9042E-10       
        1.8538E+02                5.3945E-01                1.1097E-10                4.9591E-10                4.6749E-13                4.6749E-10       
        2.1900E+02                4.5662E-01                6.7357E-11                2.8121E-10                2.3208E-13                2.3208E-10       
        2.5872E+02                3.8654E-01                4.0888E-11                1.6202E-10                1.0652E-13                1.0652E-10       
        3.0564E+02                3.2720E-01                2.4821E-11                9.3972E-11                4.3813E-14                4.3813E-11       
        3.6108E+02                2.7696E-01                1.5066E-11                5.4161E-11                1.5466E-14                1.5466E-11       
        4.2656E+02                2.3443E-01                9.1428E-12                3.0625E-11                4.4095E-15                4.4096E-12       
        5.0392E+02                1.9845E-01                5.5472E-12                1.6872E-11                9.3287E-16                9.3287E-13       
        5.9531E+02                1.6799E-01                3.3649E-12                9.0832E-12                1.3002E-16                1.3002E-13       
        7.0328E+02                1.4220E-01                2.0410E-12                4.8345E-12                1.0119E-17                1.0119E-14       
        8.3083E+02                1.2036E-01                1.2379E-12                2.5781E-12                3.4935E-19                3.4935E-16       
        9.8151E+02                1.0189E-01                7.5083E-13                1.3887E-12                3.8808E-21                3.8808E-18       
        1.1595E+03                8.6249E-02                4.5540E-13                7.5735E-13                8.8619E-24                8.8619E-21       
        1.3698E+03                7.3008E-02                2.7622E-13                4.1762E-13                2.2240E-27                2.2240E-24       
        1.6182E+03                6.1797E-02                1.6753E-13                2.3294E-13                2.5590E-32                2.5590E-29       
        1.9117E+03                5.2311E-02                1.0162E-13                1.3141E-13                3.9883E-39                3.9883E-36       
        2.1037E+03                4.7538E-02                7.6258E-14                9.5113E-14                3.7201E-44                3.7201E-41       
        2.1037E+03                4.7538E-02                7.6258E-14                9.5113E-14                3.7201E-44                3.7201E-41       
        2.3799E+03                4.2021E-02                5.2668E-14                6.3307E-14                0.0000E+00                0.0000E+00       
        2.6924E+03                3.7142E-02                3.6376E-14                4.2360E-14                0.0000E+00                0.0000E+00       
        3.1807E+03                3.1441E-02                2.2063E-14                2.4757E-14                0.0000E+00                0.0000E+00       
        3.7575E+03                2.6615E-02                1.3382E-14                1.4573E-14                0.0000E+00                0.0000E+00       
        4.4390E+03                2.2529E-02                8.1166E-15                8.6377E-15                0.0000E+00                0.0000E+00       
        5.2441E+03                1.9069E-02                4.9229E-15                5.1492E-15                0.0000E+00                0.0000E+00       
        6.1951E+03                1.6142E-02                2.9859E-15                3.0836E-15                0.0000E+00                0.0000E+00       
        7.3187E+03                1.3665E-02                1.8111E-15                1.8531E-15                0.0000E+00                0.0000E+00       
        8.6460E+03                1.1567E-02                1.0985E-15                1.1165E-15                0.0000E+00                0.0000E+00       
        1.0214E+04                9.7907E-03                6.6625E-16                6.7391E-16                0.0000E+00                0.0000E+00       
        1.2066E+04                8.2877E-03                4.0410E-16                4.0734E-16                0.0000E+00                0.0000E+00       
        1.4255E+04                7.0156E-03                2.4510E-16                2.4646E-16                0.0000E+00                0.0000E+00       
        1.6840E+04                5.9386E-03                1.4866E-16                1.4923E-16                0.0000E+00                0.0000E+00       
        1.9894E+04                5.0267E-03                9.0167E-17                9.0402E-17                0.0000E+00                0.0000E+00       
        2.3502E+04                4.2550E-03                5.4689E-17                5.4786E-17                0.0000E+00                0.0000E+00       
        2.7765E+04                3.6019E-03                3.3171E-17                3.3211E-17                0.0000E+00                0.0000E+00       
        3.2800E+04                3.0490E-03                2.0119E-17                2.0135E-17                0.0000E+00                0.0000E+00       
        3.8749E+04                2.5808E-03                1.2203E-17                1.2210E-17                0.0000E+00                0.0000E+00       
        4.5776E+04                2.1846E-03                7.4014E-18                7.4041E-18                0.0000E+00                0.0000E+00       
        5.4078E+04                1.8493E-03                4.4891E-18                4.4903E-18                0.0000E+00                0.0000E+00       
        6.3886E+04                1.5654E-03                2.7228E-18                2.7233E-18                0.0000E+00                0.0000E+00       
        7.5472E+04                1.3251E-03                1.6515E-18                1.6517E-18                0.0000E+00                0.0000E+00       
        8.9160E+04                1.1216E-03                1.0017E-18                1.0017E-18                0.0000E+00                0.0000E+00       
        1.0533E+05                9.4945E-04                6.0754E-19                6.0757E-19                0.0000E+00                0.0000E+00       
        1.2443E+05                8.0370E-04                3.6849E-19                3.6850E-19                0.0000E+00                0.0000E+00       
        1.4700E+05                6.8031E-04                2.2350E-19                2.2351E-19                0.0000E+00                0.0000E+00       
        1.7366E+05                5.7584E-04                1.3556E-19                1.3556E-19                0.0000E+00                0.0000E+00       
        2.0515E+05                4.8746E-04                8.2222E-20                8.2222E-20                0.0000E+00                0.0000E+00       
        2.4236E+05                4.1263E-04                4.9870E-20                4.9870E-20                0.0000E+00                0.0000E+00       
        2.8632E+05                3.4928E-04                3.0248E-20                3.0248E-20                0.0000E+00                0.0000E+00       
        3.3824E+05                2.9565E-04                1.8346E-20                1.8346E-20                0.0000E+00                0.0000E+00       
        3.9959E+05                2.5027E-04                1.1127E-20                1.1128E-20                0.0000E+00                0.0000E+00       
        4.7205E+05                2.1185E-04                6.7492E-21                6.7492E-21                0.0000E+00                0.0000E+00       
        5.5767E+05                1.7933E-04                4.0936E-21                4.0936E-21                0.0000E+00                0.0000E+00       
        6.5881E+05                1.5179E-04                2.4829E-21                2.4829E-21                0.0000E+00                0.0000E+00       
        7.7829E+05                1.2849E-04                1.5059E-21                1.5059E-21                0.0000E+00                0.0000E+00       
        9.1944E+05                1.0877E-04                9.1340E-22                9.1340E-22                0.0000E+00                0.0000E+00       
        1.0862E+06                9.2071E-05                5.5400E-22                5.5400E-22                0.0000E+00                0.0000E+00       
        1.2832E+06                7.7934E-05                3.3602E-22                3.3602E-22                0.0000E+00                0.0000E+00       
        1.5159E+06                6.5969E-05                2.0381E-22                2.0381E-22                0.0000E+00                0.0000E+00       
        1.7908E+06                5.5844E-05                1.2362E-22                1.2362E-22                0.0000E+00                0.0000E+00       
        2.1156E+06                4.7271E-05                7.4976E-23                7.4976E-23                0.0000E+00                0.0000E+00       
        2.4993E+06                4.0013E-05                4.5475E-23                4.5475E-23                0.0000E+00                0.0000E+00       
        2.9526E+06                3.3869E-05                2.7582E-23                2.7582E-23                0.0000E+00                0.0000E+00       
        3.4880E+06                2.8671E-05                1.6729E-23                1.6729E-23                0.0000E+00                0.0000E+00       
        4.1206E+06                2.4270E-05                1.0147E-23                1.0147E-23                0.0000E+00                0.0000E+00       
        4.8680E+06                2.0544E-05                6.1544E-24                6.1544E-24                0.0000E+00                0.0000E+00       
        5.7508E+06                1.7389E-05                3.7329E-24                3.7329E-24                0.0000E+00                0.0000E+00       
        6.7938E+06                1.4720E-05                2.2641E-24                2.2641E-24                0.0000E+00                0.0000E+00       
        8.0259E+06                1.2460E-05                1.3732E-24                1.3732E-24                0.0000E+00                0.0000E+00       
        9.4815E+06                1.0547E-05                8.3291E-25                8.3291E-25                0.0000E+00                0.0000E+00       
#-------------
