#-------------
# Parameters:
# mdm = 1.
# mmediator = 1000.
# tf = 1e-5
# trh = 100.
# ycoupling = 1e-10
#-------------
#-------------
# Summary
# TF=1e-05
# DM: T(osc)= None | T(decouple)= 100.0 | T(decay)= None | Omega h^2 (@TF) = 0.113472811107
# 
# Mediator: T(osc)= None | T(decouple)= None | T(decay)= 0.0475383532448 | Omega h^2 (@decay) = 5.53551558304e-29
# 
# Delta Neff (@TF) = 0.0
#-------------
#-------------
# Header:
#             R                      T (GeV)               n_{DM} (GeV^{3})        #rho_{DM} (GeV^{2})      n_{Mediator} (GeV^{3})  #rho_{Mediator} (GeV^{2})
        1.0000E+00                1.0000E+02                1.9634E-11                1.1456E-08                2.1797E+02                2.5437E+05       
        1.0000E+00                1.0000E+02                2.7947E-11                1.6307E-08                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                3.2965E-11                1.9235E-08                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                3.8321E-11                2.2360E-08                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                4.3814E-11                2.5565E-08                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                4.9248E-11                2.8736E-08                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                5.8872E-11                3.4351E-08                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                6.8397E-11                3.9909E-08                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                9.1764E-11                5.3544E-08                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.1431E-10                6.6699E-08                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.3741E-10                8.0180E-08                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.6134E-10                9.4142E-08                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.8578E-10                1.0840E-07                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                2.1041E-10                1.2277E-07                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                2.5712E-10                1.5003E-07                2.1799E+02                2.5440E+05       
        1.0000E+00                1.0000E+02                3.5921E-10                2.0960E-07                2.1799E+02                2.5440E+05       
        1.0000E+00                1.0000E+02                4.5699E-10                2.6665E-07                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                5.5658E-10                3.2476E-07                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                6.5982E-10                3.8500E-07                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                7.6561E-10                4.4673E-07                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                8.7254E-10                5.0912E-07                2.1801E+02                2.5442E+05       
        1.0000E+00                1.0000E+02                1.0490E-09                6.1208E-07                2.1800E+02                2.5440E+05       
        1.0000E+00                1.0000E+02                1.3522E-09                7.8902E-07                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.6515E-09                9.6361E-07                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.9522E-09                1.1391E-06                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                2.2564E-09                1.3166E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                2.5630E-09                1.4955E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                2.8709E-09                1.6751E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                3.3940E-09                1.9804E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                3.9161E-09                2.2850E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                5.4061E-09                3.1544E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                6.3989E-09                3.7337E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                7.4400E-09                4.3412E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                8.5054E-09                4.9629E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                9.5649E-09                5.5811E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.2121E-08                7.0728E-06                2.1799E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.4645E-08                8.5454E-06                2.1798E+02                2.5439E+05       
        1.0000E+00                1.0000E+02                1.7141E-08                1.0002E-05                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                1.9632E-08                1.1455E-05                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                2.2129E-08                1.2912E-05                2.1798E+02                2.5438E+05       
        1.0000E+00                1.0000E+02                2.4634E-08                1.4374E-05                2.1798E+02                2.5438E+05       
        1.0000E+00                9.9999E+01                2.8624E-08                1.6702E-05                2.1798E+02                2.5438E+05       
        1.0000E+00                9.9999E+01                3.2611E-08                1.9028E-05                2.1798E+02                2.5438E+05       
        1.0000E+00                9.9999E+01                3.9428E-08                2.3006E-05                2.1797E+02                2.5437E+05       
        1.0000E+00                9.9999E+01                4.6247E-08                2.6985E-05                2.1797E+02                2.5437E+05       
        1.0000E+00                9.9999E+01                5.3120E-08                3.0995E-05                2.1797E+02                2.5436E+05       
        1.0000E+00                9.9999E+01                6.0036E-08                3.5030E-05                2.1796E+02                2.5436E+05       
        1.0000E+00                9.9999E+01                7.2371E-08                4.2227E-05                2.1796E+02                2.5435E+05       
        1.0000E+00                9.9998E+01                9.3490E-08                5.4550E-05                2.1795E+02                2.5434E+05       
        1.0000E+00                9.9998E+01                1.0656E-07                6.2177E-05                2.1794E+02                2.5434E+05       
        1.0000E+00                9.9998E+01                1.1808E-07                6.8897E-05                2.1794E+02                2.5433E+05       
        1.0000E+00                9.9998E+01                1.2916E-07                7.5364E-05                2.1793E+02                2.5432E+05       
        1.0000E+00                9.9997E+01                1.4093E-07                8.2230E-05                2.1793E+02                2.5432E+05       
        1.0000E+00                9.9997E+01                1.5322E-07                8.9401E-05                2.1792E+02                2.5431E+05       
        1.0000E+00                9.9997E+01                1.6532E-07                9.6459E-05                2.1792E+02                2.5430E+05       
        1.0000E+00                9.9997E+01                1.7701E-07                1.0328E-04                2.1791E+02                2.5430E+05       
        1.0000E+00                9.9996E+01                1.9535E-07                1.1398E-04                2.1790E+02                2.5429E+05       
        1.0000E+00                9.9996E+01                2.1206E-07                1.2373E-04                2.1789E+02                2.5428E+05       
        1.0000E+00                9.9996E+01                2.2913E-07                1.3369E-04                2.1788E+02                2.5426E+05       
        1.0000E+00                9.9995E+01                2.4820E-07                1.4482E-04                2.1787E+02                2.5425E+05       
        1.0001E+00                9.9995E+01                2.6872E-07                1.5679E-04                2.1786E+02                2.5424E+05       
        1.0001E+00                9.9995E+01                2.8918E-07                1.6873E-04                2.1786E+02                2.5423E+05       
        1.0001E+00                9.9994E+01                3.0897E-07                1.8028E-04                2.1785E+02                2.5422E+05       
        1.0001E+00                9.9994E+01                3.4376E-07                2.0057E-04                2.1783E+02                2.5420E+05       
        1.0001E+00                9.9993E+01                3.6784E-07                2.1462E-04                2.1781E+02                2.5418E+05       
        1.0001E+00                9.9993E+01                3.9617E-07                2.3115E-04                2.1780E+02                2.5417E+05       
        1.0001E+00                9.9992E+01                4.2651E-07                2.4885E-04                2.1779E+02                2.5415E+05       
        1.0001E+00                9.9992E+01                4.5558E-07                2.6581E-04                2.1778E+02                2.5414E+05       
        1.0001E+00                9.9991E+01                4.8306E-07                2.8185E-04                2.1776E+02                2.5412E+05       
        1.0001E+00                9.9990E+01                5.1064E-07                2.9794E-04                2.1775E+02                2.5410E+05       
        1.0001E+00                9.9990E+01                5.3918E-07                3.1459E-04                2.1774E+02                2.5409E+05       
        1.0001E+00                9.9989E+01                5.8568E-07                3.4172E-04                2.1772E+02                2.5406E+05       
        1.0001E+00                9.9988E+01                6.3395E-07                3.6988E-04                2.1770E+02                2.5404E+05       
        1.0001E+00                9.9988E+01                6.8079E-07                3.9721E-04                2.1768E+02                2.5402E+05       
        1.0001E+00                9.9987E+01                7.2489E-07                4.2294E-04                2.1766E+02                2.5399E+05       
        1.0001E+00                9.9986E+01                7.6776E-07                4.4795E-04                2.1764E+02                2.5397E+05       
        1.0001E+00                9.9985E+01                8.1118E-07                4.7327E-04                2.1762E+02                2.5394E+05       
        1.0002E+00                9.9984E+01                8.5529E-07                4.9901E-04                2.1760E+02                2.5392E+05       
        1.0002E+00                9.9983E+01                9.2459E-07                5.3944E-04                2.1756E+02                2.5388E+05       
        1.0002E+00                9.9982E+01                9.9468E-07                5.8032E-04                2.1753E+02                2.5385E+05       
        1.0002E+00                9.9981E+01                1.0639E-06                6.2070E-04                2.1750E+02                2.5381E+05       
        1.0002E+00                9.9980E+01                1.1315E-06                6.6015E-04                2.1747E+02                2.5377E+05       
        1.0002E+00                9.9978E+01                1.1984E-06                6.9914E-04                2.1744E+02                2.5374E+05       
        1.0003E+00                9.9975E+01                1.3665E-06                7.9724E-04                2.1736E+02                2.5364E+05       
        1.0003E+00                9.9972E+01                1.5252E-06                8.8978E-04                2.1728E+02                2.5354E+05       
        1.0003E+00                9.9969E+01                1.6874E-06                9.8438E-04                2.1720E+02                2.5344E+05       
        1.0003E+00                9.9966E+01                1.8596E-06                1.0848E-03                2.1711E+02                2.5335E+05       
        1.0004E+00                9.9962E+01                2.0379E-06                1.1888E-03                2.1703E+02                2.5325E+05       
        1.0004E+00                9.9957E+01                2.3675E-06                1.3811E-03                2.1689E+02                2.5308E+05       
        1.0005E+00                9.9951E+01                2.7016E-06                1.5759E-03                2.1674E+02                2.5291E+05       
        1.0006E+00                9.9942E+01                3.3056E-06                1.9281E-03                2.1651E+02                2.5263E+05       
        1.0007E+00                9.9936E+01                3.6791E-06                2.1458E-03                2.1636E+02                2.5244E+05       
        1.0007E+00                9.9930E+01                4.0027E-06                2.3345E-03                2.1620E+02                2.5226E+05       
        1.0008E+00                9.9923E+01                4.3125E-06                2.5151E-03                2.1605E+02                2.5208E+05       
        1.0008E+00                9.9917E+01                4.6417E-06                2.7070E-03                2.1590E+02                2.5189E+05       
        1.0009E+00                9.9911E+01                4.9856E-06                2.9074E-03                2.1574E+02                2.5171E+05       
        1.0010E+00                9.9905E+01                5.3238E-06                3.1045E-03                2.1559E+02                2.5153E+05       
        1.0010E+00                9.9899E+01                5.6504E-06                3.2949E-03                2.1544E+02                2.5135E+05       
        1.0011E+00                9.9889E+01                6.1779E-06                3.6022E-03                2.1517E+02                2.5103E+05       
        1.0012E+00                9.9878E+01                6.6412E-06                3.8721E-03                2.1490E+02                2.5071E+05       
        1.0013E+00                9.9867E+01                7.1092E-06                4.1447E-03                2.1463E+02                2.5038E+05       
        1.0015E+00                9.9856E+01                7.6481E-06                4.4585E-03                2.1436E+02                2.5006E+05       
        1.0016E+00                9.9846E+01                8.2388E-06                4.8025E-03                2.1410E+02                2.4974E+05       
        1.0017E+00                9.9830E+01                9.1893E-06                5.3561E-03                2.1369E+02                2.4926E+05       
        1.0019E+00                9.9814E+01                1.0166E-05                5.9248E-03                2.1329E+02                2.4878E+05       
        1.0021E+00                9.9797E+01                1.1107E-05                6.4726E-03                2.1289E+02                2.4831E+05       
        1.0022E+00                9.9781E+01                1.1990E-05                6.9861E-03                2.1249E+02                2.4783E+05       
        1.0024E+00                9.9765E+01                1.2843E-05                7.4826E-03                2.1209E+02                2.4735E+05       
        1.0027E+00                9.9734E+01                1.4412E-05                8.3948E-03                2.1132E+02                2.4644E+05       
        1.0030E+00                9.9704E+01                1.5949E-05                9.2886E-03                2.1056E+02                2.4553E+05       
        1.0033E+00                9.9673E+01                1.7527E-05                1.0206E-02                2.0980E+02                2.4462E+05       
        1.0036E+00                9.9642E+01                1.9154E-05                1.1151E-02                2.0904E+02                2.4372E+05       
        1.0039E+00                9.9611E+01                2.0795E-05                1.2104E-02                2.0829E+02                2.4282E+05       
        1.0044E+00                9.9562E+01                2.3395E-05                1.3613E-02                2.0709E+02                2.4140E+05       
        1.0049E+00                9.9514E+01                2.5965E-05                1.5103E-02                2.0591E+02                2.3998E+05       
        1.0054E+00                9.9465E+01                2.8499E-05                1.6572E-02                2.0473E+02                2.3858E+05       
        1.0063E+00                9.9381E+01                3.2790E-05                1.9057E-02                2.0271E+02                2.3618E+05       
        1.0078E+00                9.9234E+01                4.0060E-05                2.3260E-02                1.9922E+02                2.3201E+05       
        1.0093E+00                9.9086E+01                4.7148E-05                2.7350E-02                1.9577E+02                2.2791E+05       
        1.0116E+00                9.8862E+01                5.7646E-05                3.3392E-02                1.9061E+02                2.2177E+05       
        1.0139E+00                9.8638E+01                6.7982E-05                3.9322E-02                1.8557E+02                2.1578E+05       
        1.0162E+00                9.8413E+01                7.8251E-05                4.5196E-02                1.8064E+02                2.0993E+05       
        1.0185E+00                9.8189E+01                8.8327E-05                5.0942E-02                1.7583E+02                2.0421E+05       
        1.0208E+00                9.7965E+01                9.8080E-05                5.6485E-02                1.7112E+02                1.9863E+05       
        1.0249E+00                9.7574E+01                1.1442E-04                6.5727E-02                1.6318E+02                1.8922E+05       
        1.0290E+00                9.7189E+01                1.2978E-04                7.4358E-02                1.5565E+02                1.8031E+05       
        1.0358E+00                9.6553E+01                1.5295E-04                8.7257E-02                1.4387E+02                1.6638E+05       
        1.0426E+00                9.5916E+01                1.7392E-04                9.8792E-02                1.3284E+02                1.5338E+05       
        1.0495E+00                9.5285E+01                1.9315E-04                1.0924E-01                1.2262E+02                1.4135E+05       
        1.0564E+00                9.4663E+01                2.1077E-04                1.1869E-01                1.1321E+02                1.3029E+05       
        1.0634E+00                9.4041E+01                2.2683E-04                1.2717E-01                1.0443E+02                1.1999E+05       
        1.0705E+00                9.3419E+01                2.4131E-04                1.3468E-01                9.6223E+01                1.1039E+05       
        1.0823E+00                9.2405E+01                2.6209E-04                1.4519E-01                8.4019E+01                9.6136E+04       
        1.0942E+00                9.1393E+01                2.7910E-04                1.5345E-01                7.3180E+01                8.3519E+04       
        1.1063E+00                9.0399E+01                2.9286E-04                1.5978E-01                6.3723E+01                7.2544E+04       
        1.1185E+00                8.9410E+01                3.0373E-04                1.6443E-01                5.5365E+01                6.2873E+04       
        1.1308E+00                8.8437E+01                3.1200E-04                1.6758E-01                4.8076E+01                5.4463E+04       
        1.1433E+00                8.7470E+01                3.1801E-04                1.6945E-01                4.1665E+01                4.7087E+04       
        1.1632E+00                8.5975E+01                3.2377E-04                1.7033E-01                3.3198E+01                3.7381E+04       
        1.1835E+00                8.4503E+01                3.2555E-04                1.6905E-01                2.6349E+01                2.9563E+04       
        1.2041E+00                8.3054E+01                3.2404E-04                1.6605E-01                2.0832E+01                2.3291E+04       
        1.2442E+00                8.0379E+01                3.1455E-04                1.5705E-01                1.3223E+01                1.4690E+04       
        1.2857E+00                7.7782E+01                2.9893E-04                1.4529E-01                8.2718E+00                9.1343E+03       
